user_being_followed_id,user_following_id
179,223
174,42
11,68
158,143
181,55
50,148
148,195
286,44
39,236
3,83
42,244
81,9
181,260
16,265
101,133
185,268
117,68
68,236
161,78
62,44
99,205
234,41
251,269
17,182
22,297
105,181
90,2
82,210
112,262
107,114
55,212
263,58
217,191
149,11
235,87
112,233
282,109
281,244
196,200
22,217
241,285
76,219
114,143
254,103
64,182
27,213
4,164
156,105
22,81
161,159
288,94
238,159
272,78
12,50
220,249
274,75
21,243
276,238
14,271
24,161
226,157
48,59
159,58
83,40
226,46
120,134
162,292
63,137
291,66
124,10
185,59
258,220
163,247
207,187
83,125
5,140
23,43
9,51
41,24
153,17
39,177
111,57
148,72
151,119
106,46
71,197
252,261
208,253
175,185
208,8
103,7
145,211
205,243
88,254
211,35
85,235
54,36
251,212
260,94
135,191
168,224
27,130
239,90
21,97
53,12
1,129
51,187
8,207
253,198
158,204
269,260
152,208
212,13
46,197
128,181
154,108
34,131
200,159
60,229
52,24
44,3
176,259
51,233
201,207
198,175
105,52
124,186
258,81
286,171
271,251
178,4
101,99
108,28
170,144
277,164
98,107
125,86
259,111
172,81
78,273
83,71
43,286
36,227
108,48
274,214
231,237
238,166
26,289
241,192
228,220
294,229
59,271
76,210
184,127
58,257
139,144
240,164
203,99
196,194
253,36
61,149
14,29
194,104
11,75
160,11
176,87
106,190
300,43
43,54
157,293
189,132
165,32
151,71
194,178
58,234
208,222
193,144
63,170
119,175
275,141
105,20
227,260
246,46
35,117
284,280
100,86
244,278
185,149
89,87
47,31
87,188
96,16
167,50
66,83
148,118
90,33
156,11
231,25
267,151
96,119
60,151
30,91
38,26
80,76
189,100
223,170
67,38
30,101
255,168
45,102
165,95
203,119
69,285
27,135
81,299
169,132
75,126
153,297
49,169
181,286
80,112
41,127
293,197
177,293
153,28
2,51
33,140
85,229
290,108
47,91
264,150
64,44
95,133
106,233
20,100
287,3
71,121
53,39
190,257
139,238
162,73
109,100
273,110
250,20
26,143
25,242
288,268
126,130
296,241
175,140
223,187
42,79
256,128
217,65
120,67
153,4
206,237
67,15
192,52
285,267
109,145
208,298
218,2
156,261
179,69
243,62
108,287
44,274
6,61
85,5
175,160
160,28
223,163
240,206
236,150
24,291
168,18
25,216
141,162
168,33
175,33
183,211
6,203
195,293
162,298
32,178
261,191
81,295
18,223
176,233
95,13
105,137
248,113
284,132
120,187
